status,accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2021010287148,2021,010287148,1,1,1,1,19,4,3,0,0,0,0,0,9,1,10
Unvalidated,2021010287149,2021,010287149,1,1,2,1,25,5,3,0,0,1,0,0,9,1,5
Unvalidated,2021010287149,2021,010287149,2,2,1,1,21,5,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287149,2021,010287149,2,3,2,1,17,4,2,0,0,1,0,0,9,1,2
Unvalidated,2021010287151,2021,010287151,1,1,1,1,27,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287151,2021,010287151,2,2,1,1,27,6,2,0,0,0,0,0,9,1,2
Unvalidated,2021010287151,2021,010287151,2,3,2,1,28,6,3,0,0,2,0,0,9,1,3
Unvalidated,2021010287151,2021,010287151,2,4,2,1,20,4,3,0,0,1,0,0,9,1,3
Unvalidated,2021010287155,2021,010287155,1,1,3,1,49,8,1,4,9,0,0,0,0,-1,-1
Unvalidated,2021010287157,2021,010287157,1,1,1,1,37,7,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287163,2021,010287163,1,1,1,1,42,7,2,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287167,2021,010287167,1,1,1,1,25,5,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287168,2021,010287168,2,1,2,1,30,6,3,0,0,0,4,0,11,1,2
Unvalidated,2021010287185,2021,010287185,1,1,3,1,50,8,2,6,9,0,0,0,0,1,8
Unvalidated,2021010287189,2021,010287189,1,1,1,2,23,5,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287201,2021,010287201,2,1,1,1,51,8,3,0,0,0,0,0,5,1,3
Unvalidated,2021010287204,2021,010287204,1,1,1,1,68,10,3,0,0,0,0,0,19,1,3
Unvalidated,2021010287210,2021,010287210,1,1,1,1,32,6,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287223,2021,010287223,1,1,1,1,46,8,3,0,0,0,0,0,3,1,7
Unvalidated,2021010287227,2021,010287227,1,1,1,2,29,6,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287232,2021,010287232,1,1,1,1,18,4,3,0,0,0,0,0,1,-1,-1
Unvalidated,2021010287233,2021,010287233,1,1,3,1,60,9,3,4,3,0,0,0,0,1,1
Unvalidated,2021010287234,2021,010287234,2,1,2,2,4,1,3,0,0,2,0,0,9,1,2
Unvalidated,2021010287234,2021,010287234,3,2,1,1,47,8,3,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287239,2021,010287239,2,1,1,1,39,7,2,0,0,0,0,0,3,1,5
Unvalidated,2021010287242,2021,010287242,1,1,3,1,36,7,2,6,9,0,0,0,0,1,4
Unvalidated,2021010287243,2021,010287243,1,1,1,1,18,4,2,0,0,0,0,0,3,1,5
Unvalidated,2021010287244,2021,010287244,1,1,1,1,47,8,3,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287248,2021,010287248,1,1,1,2,28,6,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287251,2021,010287251,2,1,1,2,29,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287252,2021,010287252,1,1,2,2,25,5,3,0,0,1,0,0,9,1,5
Unvalidated,2021010287259,2021,010287259,2,1,1,1,32,6,3,0,0,0,0,0,3,1,6
Unvalidated,2021010287260,2021,010287260,1,1,1,1,29,6,3,0,0,0,0,0,1,1,5
Unvalidated,2021010287264,2021,010287264,2,1,1,1,29,6,3,0,0,0,0,0,9,1,5
Unvalidated,2021010287268,2021,010287268,1,1,1,2,57,9,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287269,2021,010287269,1,1,1,1,74,10,3,0,0,0,0,0,9,1,9
Unvalidated,2021010287269,2021,010287269,1,2,2,2,87,11,3,0,0,1,0,0,9,1,9
Unvalidated,2021010287271,2021,010287271,1,1,1,1,51,8,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287277,2021,010287277,1,1,1,1,25,5,3,0,0,0,0,0,3,1,5
Unvalidated,2021010287280,2021,010287280,1,1,1,2,48,8,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287283,2021,010287283,1,1,1,1,30,6,3,0,0,0,0,0,1,1,5
Unvalidated,2021010287289,2021,010287289,2,1,1,1,-1,-1,3,0,0,0,0,0,90,-1,-1
Unvalidated,2021010287293,2021,010287293,1,1,1,1,23,5,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287304,2021,010287304,2,1,1,1,21,5,3,0,0,0,0,0,2,-1,-1
Unvalidated,2021010287309,2021,010287309,1,1,1,1,71,10,3,0,0,0,0,0,9,1,5
Unvalidated,2021010287311,2021,010287311,1,1,3,1,18,4,3,6,9,0,0,0,0,1,6
Unvalidated,2021010287312,2021,010287312,2,1,1,1,38,7,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287313,2021,010287313,1,1,3,1,39,7,3,1,9,0,0,0,0,1,5
Unvalidated,2021010287314,2021,010287314,1,1,1,1,23,5,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287316,2021,010287316,2,1,1,1,28,6,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287317,2021,010287317,1,1,1,1,35,6,3,0,0,0,0,0,3,-1,-1
Unvalidated,2021010287319,2021,010287319,1,1,1,1,58,9,3,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287322,2021,010287322,1,1,1,1,33,6,3,0,0,0,0,0,3,1,5
Unvalidated,2021010287326,2021,010287326,1,1,3,2,66,10,2,1,1,0,0,0,0,1,9
Unvalidated,2021010287327,2021,010287327,1,1,1,1,27,6,3,0,0,0,0,0,2,-1,-1
Unvalidated,2021010287328,2021,010287328,2,1,1,1,48,8,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287329,2021,010287329,1,1,3,1,31,6,3,5,1,0,0,0,0,1,2
Unvalidated,2021010287330,2021,010287330,1,1,1,2,36,7,3,0,0,0,0,0,1,1,3
Unvalidated,2021010287333,2021,010287333,1,1,1,2,44,7,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287334,2021,010287334,1,1,1,2,51,8,2,0,0,0,0,0,9,1,2
Unvalidated,2021010287336,2021,010287336,2,1,1,1,40,7,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287337,2021,010287337,2,1,1,1,66,10,2,0,0,0,0,0,1,1,6
Unvalidated,2021010287341,2021,010287341,1,1,1,1,20,4,1,0,0,0,0,0,9,1,3
Unvalidated,2021010287341,2021,010287341,1,2,2,1,25,5,2,0,0,1,0,0,9,1,7
Unvalidated,2021010287343,2021,010287343,1,1,1,1,33,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287345,2021,010287345,1,1,1,1,19,4,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287345,2021,010287345,1,2,2,1,19,4,2,0,0,1,0,0,9,1,1
Unvalidated,2021010287345,2021,010287345,1,3,2,1,19,4,3,0,0,2,0,0,9,1,1
Unvalidated,2021010287345,2021,010287345,1,4,2,1,19,4,3,0,0,2,0,0,9,1,3
Unvalidated,2021010287353,2021,010287353,2,1,1,1,22,5,3,0,0,0,0,0,2,1,2
Unvalidated,2021010287355,2021,010287355,2,1,1,2,58,9,2,0,0,0,0,0,9,1,9
