status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021010287289,2021,010287289,2,90,Scooter - Electric Scooter
Unvalidated,2021010287471,2021,010287471,1,90,Scooter - Electric Scooter
Unvalidated,2021010287540,2021,010287540,2,90,Scooter - Electric Scooter
Unvalidated,2021010287634,2021,010287634,2,90,Scooter - Electric Scooter
Unvalidated,2021010287851,2021,010287851,2,90,Scooter - Electric Scooter
Unvalidated,2021010287914,2021,010287914,2,90,Scooter - Electric Scooter
Unvalidated,2021010288047,2021,010288047,1,90,Scooter - Electric Scooter
Unvalidated,2021010288097,2021,010288097,2,90,Scooter - Electric Scooter
Unvalidated,2021010288456,2021,010288456,2,90,Scooter - Electric Scooter
Unvalidated,2021010288481,2021,010288481,1,90,Scooter - Electric Scooter
Unvalidated,2021010288625,2021,010288625,2,90,Scooter - Electric Scooter
Unvalidated,2021010289130,2021,010289130,2,90,Scooter - Electric Scooter
Unvalidated,2021010289396,2021,010289396,2,90,Scooter - Electric Scooter
Unvalidated,2021010289661,2021,010289661,1,90,Scooter - Electric Scooter
Unvalidated,2021010289686,2021,010289686,2,90,Scooter - Electric Scooter
Unvalidated,2021010290351,2021,010290351,1,90,Scooter - Electric Scooter
Unvalidated,2021010290368,2021,010290368,2,90,Scooter - Electric Scooter
Unvalidated,2021010290457,2021,010290457,1,90,Scooter - Electric Scooter
Unvalidated,2021010290604,2021,010290604,2,90,Scooter - Electric Scooter
Unvalidated,2021010290634,2021,010290634,2,90,Scooter - Electric Scooter
Unvalidated,2021010290646,2021,010290646,1,90,Scooter - Electric Scooter
Unvalidated,2021010290658,2021,010290658,1,90,Scooter - Electric Scooter
Unvalidated,2021010291118,2021,010291118,2,90,Scooter - Electric Scooter
Unvalidated,2021010291146,2021,010291146,2,90,Scooter - Electric Scooter
Unvalidated,2021010291398,2021,010291398,2,90,Scooter - Electric Scooter
Unvalidated,2021010291649,2021,010291649,2,90,Scooter - Electric Scooter
Unvalidated,2021010291799,2021,010291799,2,90,Scooter - Electric Scooter
Unvalidated,2021010292159,2021,010292159,2,90,Scooter - Electric Scooter
Unvalidated,2021010292252,2021,010292252,2,90,Scooter - Electric Scooter
Unvalidated,2021010292580,2021,010292580,2,90,Scooter - Electric Scooter
Unvalidated,2021010292592,2021,010292592,1,90,Scooter - Electric Scooter
Unvalidated,2021010293045,2021,010293045,2,90,Scooter - Electric Scooter
Unvalidated,2021010293354,2021,010293354,2,90,Scooter - Electric Scooter
Unvalidated,2021010293357,2021,010293357,1,90,Scooter - Electric Scooter
Unvalidated,2021010293362,2021,010293362,1,90,Scooter - Electric Scooter
Unvalidated,2021010293443,2021,010293443,1,90,Scooter - Electric Scooter
Unvalidated,2021010293555,2021,010293555,2,90,Scooter - Electric Scooter
Unvalidated,2021010293580,2021,010293580,1,90,Scooter - Electric Scooter
Unvalidated,2021010293720,2021,010293720,2,90,Scooter - Electric Scooter
Unvalidated,2021010294297,2021,010294297,2,90,Scooter - Electric Scooter
Unvalidated,2021010294378,2021,010294378,1,90,Scooter - Electric Scooter
Unvalidated,2021010294410,2021,010294410,2,90,Scooter - Electric Scooter
Unvalidated,2021010294954,2021,010294954,1,90,Scooter - Electric Scooter
Unvalidated,2021010295025,2021,010295025,1,90,Scooter - Electric Scooter
Unvalidated,2021010295027,2021,010295027,1,90,Scooter - Electric Scooter
Unvalidated,2021010295607,2021,010295607,1,90,Scooter - Electric Scooter
Unvalidated,2021010295625,2021,010295625,2,90,Scooter - Electric Scooter
Unvalidated,2021010295712,2021,010295712,1,90,Scooter - Electric Scooter
Unvalidated,2021010295827,2021,010295827,2,90,Scooter - Electric Scooter
Unvalidated,2021010295879,2021,010295879,1,90,Scooter - Electric Scooter
Unvalidated,2021010295984,2021,010295984,2,90,Scooter - Electric Scooter
Unvalidated,2021010295986,2021,010295986,2,90,Scooter - Electric Scooter
Unvalidated,2021010295992,2021,010295992,2,90,Scooter - Electric Scooter
Unvalidated,2021010296002,2021,010296002,2,90,Scooter - Electric Scooter
Unvalidated,2021010296099,2021,010296099,1,90,Scooter - Electric Scooter
Unvalidated,2021010296170,2021,010296170,2,90,Scooter - Electric Scooter
Unvalidated,2021010296455,2021,010296455,2,90,Scooter - Electric Scooter
Unvalidated,2021010296528,2021,010296528,1,90,Scooter - Electric Scooter
Unvalidated,2021010296554,2021,010296554,2,90,Scooter - Electric Scooter
Unvalidated,2021010296725,2021,010296725,2,90,Scooter - Electric Scooter
