,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover
2080,2081,OH,39075,Holmes,Millersburg,"42,366","1,094.356",422.533,3.745,1.446,"1,098.101",423.979,40.565309,-81.929869,Holmes<br>OH<br>39075
2081,2082,OH,39077,Huron,Norwalk,"59,626","1,272.966",491.495,8.616,3.327,"1,281.581",494.822,41.145080,-82.594641,Huron<br>OH<br>39077
2082,2083,OH,39079,Jackson,Jackson,"33,225","1,088.582",420.304,3.185,1.230,"1,091.767",421.534,39.013477,-82.614142,Jackson<br>OH<br>39079
2083,2084,OH,39081,Jefferson,Steubenville,"69,709","1,057.566",408.329,6.797,2.624,"1,064.363",410.953,40.399188,-80.761410,Jefferson<br>OH<br>39081
2084,2085,OH,39083,Knox,Mount Vernon,"60,921","1,361.024",525.494,10.719,4.139,"1,371.743",529.633,40.403620,-82.422393,Knox<br>OH<br>39083
2085,2086,OH,39085,Lake,Painesville,"230,041",589.204,227.493,"1,946.906",751.705,"2,536.110",979.198,41.924116,-81.392643,Lake<br>OH<br>39085
2086,2087,OH,39087,Lawrence,Ironton,"62,450","1,174.224",453.371,10.110,3.904,"1,184.335",457.275,38.603866,-82.517186,Lawrence<br>OH<br>39087
2087,2088,OH,39089,Licking,Newark,"166,492","1,767.667",682.500,12.927,4.991,"1,780.594",687.491,40.093609,-82.481251,Licking<br>OH<br>39089
2088,2089,OH,39091,Logan,Bellefontaine,"45,858","1,187.327",458.429,21.609,8.343,"1,208.935",466.772,40.387553,-83.766343,Logan<br>OH<br>39091
2089,2090,OH,39093,Lorain,Elyria,"301,356","1,271.947",491.101,"1,119.471",432.230,"2,391.418",923.331,41.438805,-82.179722,Lorain<br>OH<br>39093
2090,2091,OH,39095,Lucas,Toledo,"441,815",882.811,340.855,660.503,255.022,"1,543.314",595.877,41.682321,-83.468867,Lucas<br>OH<br>39095
2091,2092,OH,39097,Madison,London,"43,435","1,206.611",465.875,1.955,0.755,"1,208.565",466.630,39.896607,-83.400885,Madison<br>OH<br>39097
2092,2093,OH,39099,Mahoning,Youngstown,"238,823","1,066.099",411.623,35.386,13.663,"1,101.485",425.286,41.010880,-80.770396,Mahoning<br>OH<br>39099
2093,2094,OH,39101,Marion,Marion,"66,501","1,045.727",403.757,0.909,0.351,"1,046.635",404.108,40.588208,-83.172927,Marion<br>OH<br>39101
2094,2095,OH,39103,Medina,Medina,"172,332","1,091.311",421.358,4.294,1.658,"1,095.605",423.016,41.116051,-81.899566,Medina<br>OH<br>39103
2095,2096,OH,39105,Meigs,Pomeroy,"23,770","1,113.950",430.098,7.520,2.903,"1,121.470",433.001,39.089807,-82.028397,Meigs<br>OH<br>39105
2096,2097,OH,39107,Mercer,Celina,"40,814","1,197.737",462.449,28.427,10.976,"1,226.164",473.425,40.535333,-84.632059,Mercer<br>OH<br>39107
2097,2098,OH,39109,Miami,Troy,"102,506","1,053.038",406.580,7.967,3.076,"1,061.004",409.656,40.053326,-84.228414,Miami<br>OH<br>39109
2098,2099,OH,39111,Monroe,Woodsfield,"14,642","1,180.312",455.721,4.498,1.737,"1,184.811",457.458,39.725969,-81.090658,Monroe<br>OH<br>39111
2099,2100,OH,39113,Montgomery,Dayton,"535,153","1,195.417",461.553,7.204,2.782,"1,202.621",464.335,39.755218,-84.290546,Montgomery<br>OH<br>39113
2100,2101,OH,39115,Morgan,McConnelsville,"15,054","1,078.531",416.423,13.882,5.360,"1,092.413",421.783,39.624946,-81.861699,Morgan<br>OH<br>39115
2101,2102,OH,39117,Morrow,Mount Gilead,"34,827","1,051.739",406.079,2.959,1.143,"1,054.698",407.222,40.525266,-82.797729,Morrow<br>OH<br>39117
2102,2103,OH,39119,Muskingum,Zanesville,"86,074","1,721.251",664.579,20.731,8.004,"1,741.982",672.583,39.966046,-81.943506,Muskingum<br>OH<br>39119
2103,2104,OH,39121,Noble,Caldwell,"14,645","1,030.847",398.012,16.986,6.558,"1,047.833",404.570,39.767232,-81.452604,Noble<br>OH<br>39121
2104,2105,OH,39123,Ottawa,Port Clinton,"41,428",660.231,254.917,855.075,330.146,"1,515.306",585.063,41.544467,-83.009253,Ottawa<br>OH<br>39123
2105,2106,OH,39125,Paulding,Paulding,"19,614","1,078.569",416.438,6.241,2.410,"1,084.810",418.848,41.119141,-84.576967,Paulding<br>OH<br>39125
2106,2107,OH,39127,Perry,New Lexington,"36,058","1,056.641",407.971,11.695,4.515,"1,068.336",412.486,39.743187,-82.237953,Perry<br>OH<br>39127
2107,2108,OH,39129,Pickaway,Circleville,"55,698","1,298.414",501.320,13.551,5.232,"1,311.965",506.552,39.648947,-83.052827,Pickaway<br>OH<br>39129
2108,2109,OH,39131,Pike,Waverly,"28,709","1,140.324",440.282,9.568,3.694,"1,149.892",443.976,39.071365,-83.052921,Pike<br>OH<br>39131
2109,2110,OH,39133,Portage,Ravenna,"161,419","1,262.311",487.381,43.208,16.683,"1,305.519",504.064,41.168640,-81.196932,Portage<br>OH<br>39133
2110,2111,OH,39135,Preble,Eaton,"42,270","1,098.465",424.120,6.065,2.342,"1,104.531",426.462,39.737906,-84.645358,Preble<br>OH<br>39135
2111,2112,OH,39137,Putnam,Ottawa,"34,499","1,249.725",482.522,4.605,1.778,"1,254.330",484.300,41.024533,-84.129879,Putnam<br>OH<br>39137
2112,2113,OH,39139,Richland,Mansfield,"124,475","1,282.740",495.269,12.454,4.809,"1,295.194",500.078,40.774167,-82.542715,Richland<br>OH<br>39139
2113,2114,OH,39141,Ross,Chillicothe,"78,064","1,784.988",689.188,9.937,3.837,"1,794.926",693.025,39.323763,-83.059585,Ross<br>OH<br>39141
2114,2115,OH,39143,Sandusky,Fremont,"60,944","1,057.888",408.453,23.968,9.254,"1,081.857",417.707,41.355291,-83.142735,Sandusky<br>OH<br>39143
2115,2116,OH,39145,Scioto,Portsmouth,"79,499","1,580.445",610.213,15.370,5.935,"1,595.815",616.148,38.815019,-82.999028,Scioto<br>OH<br>39145
2116,2117,OH,39147,Seneca,Tiffin,"56,745","1,427.128",551.017,4.600,1.776,"1,431.728",552.793,41.120008,-83.127436,Seneca<br>OH<br>39147
2117,2118,OH,39149,Shelby,Sidney,"49,423","1,055.874",407.675,7.814,3.017,"1,063.688",410.692,40.336680,-84.204143,Shelby<br>OH<br>39149
2118,2119,OH,39151,Stark,Canton,"375,586","1,489.944",575.271,13.628,5.262,"1,503.572",580.533,40.814131,-81.365667,Stark<br>OH<br>39151
2119,2120,OH,39153,Summit,Akron,"541,781","1,069.013",412.748,18.926,7.307,"1,087.939",420.055,41.121851,-81.534936,Summit<br>OH<br>39153
2120,2121,OH,39155,Trumbull,Warren,"210,312","1,601.381",618.297,47.321,18.271,"1,648.702",636.568,41.308936,-80.767656,Trumbull<br>OH<br>39155
